"1","1","Nordic Bakery","14 Golden Square London, W1F 9JG","","","",""
"2","2","alfabet","Beak Street, Soho","","","",""
"3","6","Poets on fire","","http://poetsonfire.blogspot.com/"
"4","6","The Tea Box","","http://www.theteabox.co.uk/","","",""
"5","7","Whitechapel Gallery","26 Toynbee Street, London, E1 7NE","","","",""
"6","23","Bloomsbury Bowling Lanes","Basement of Tavistock Hotel, London, WC1H 9EU","www.bloomsburybowling.com","","",""
"7","8","Peter Parker's Rock n Roll Club","4 Denmark Street, London, WC2H 8LP","","","",""
"8","27","Brindisa","32 Exmouth Market, London, EC1R 4QE","http://www.brindisa.com/","","","georgia"
"9","39","Balans","34 Old Compton Street, London, W1D 4TP","www.balans.co.uk","","","anna"
"10","26","Shake, Rattle & Bowl","Bedford Way Camden Town, Greater London WC1B 5","http://www.shakerattleandbowl.com/london/index.html","","",""
"11","29","García & Sons","248-250 Portobello Road, London, W11 1LL","http://www.garciacafe.co.uk/","","",""
"12","41","Bar Italia","22 Frith Street, London, W1D 4RP","www.baritaliasoho.co.uk/","","","anna"
"13","49","Admiralty Arch","Admiralty Arch, London, WC2R 1LA","","","","Charlotte"
"14","11","","","http://www.facebook.com/group.php?gid=199634493064&ref=ts","","","Chris"
"15","33","Shunt","0 Stainer Street, London SE1 9RL","http://www.shunt.co.uk/","","","Rob"
"17","43","Cafe 1001","91 Brick Lane, London, E1 6QL","www.cafe1001.co.uk","","","anna"
"18","50","Trocadero Centre","7-14 Coventry Street, London, W1D 7DH","www.londontrocadero.com","","","Charlotte"
"19","52","The Boat Show Comedy Club","","http://www.boatshowcomedy.co.uk/","","","Jamie"
"20","13","","","http://www.bangsaidthegun.com/","","","Chris"
"21","36","Old Royal Navel College","2 Cutty Sark Gardens London SE10 9LW","http://www.oldroyalnavalcollege.org/","","","Rob"
"22","36","The Trafalgar","6 Park Row London SE10 9NW","http://www.trafalgartavern.co.uk/","","","Rob"
"23","80","28 Days Later","","http://www.28dayslater.co.uk/forums/","","",""
"24","81","Derelict London","","www.derelictlondon.com","","",""
"25","46","Beigel Bake","159 Brick Lane, London, E1 6SB","","","","anna"
"26","54","Up The Creek Comedy Empire","302 Creek Road London, SE10 9SW","http://www.up-the-creek.com/","","","Jamie"
"27","14","Poetry Society","22 Betterton Street London WC2H 9BX","www.poetrysociety.org.uk","","","Chris"
"28","15","","","http://decongested.org.uk/","","","Chris"
"29","70","Sarastro's","126 Drury Lane, Covent Garden, London, WC2B 5SU","http://www.toptable.com/en-gb/venue/?id=13079&refid=ppc_ggl&gclid=CIKfr9rg758CFUkB4wodbF0JYQ","","","Julia"
"31","16","","","http://www.swisticming.com","","","Chris"
"32","47","Vingt Quatre","325 Fulham Road, London, SW10 9QL","www.vingtquatre.co.uk","","","anna"
"33","17","","","www.myspace.com/ytuesday","","","Chris"
"34","17","","","www.myspace.com/utterpoetry","","","Chris"
"35","71","guanabara","Parker St Corner of Drury Lane, London WC2B 5PW","http://www.guanabara.co.uk/","","","julia"
"36","111","The Place","17 Duke's Road London WC1H 9PY","http://www.theplace.org.uk/2261/facilities/studios.html","","","zoe"
"37","18","Poimandres Productions","","http://poimandresproductions.blogspot.com/","","","anna"
"38","112","Dance Attic","368 North End Road London SW6 1LY","www.danceattic.com","","","zoe"
"39","9","Buona Sera","22 Northcote Road, London, SW11 1NX?","","","","anna"
"40","72","Christopher's Bar and Grill","18 Wellington Street London WC2E 7DD 020 7240 4222","http://www.christophersgrill.com/","","","julia"
"41","113","Frame","29 New Inn Yard, Shoreditch, London, EC2A 3EY","http://www.moveyourframe.com/","","","zoe"
"42","114","Siobhan Davies Studio","85 St George's Road, London, SE1 6ER","http://www.siobhandavies.com/studios/space-hire/information.html","","","zoe"
"43","115","Latin Dance Academy","2 Regents Park Road LONDON NW1 7AY/24 Haverstock  Hill LONDON NW3 2BQ","http://www.latindanceacademy.co.uk/","","","zoe"
"44","142","Mantovanis","24 Thurloe Street, London, SW7 2LT","","","","zoe"
"46","141","Lola Rojo","78 Northcote Road, London, SW11 6QL","www.lolarojo.net","","",""
"47","55","Banana Cabaret","The Bedford 77 Bedford Hill Balham London SW12 9HD","www.bananacabaret.co.uk","","","Jamie"
"48","140","La Terrazza","27-31 Bedford Road, London, SW4 7SH","","","",""
"49","58","Amused Moose","Greek Street, Soho, London","http://www.amusedmoose.com/","","","Jamie"
"50","57","The News Revue","Canal Café Theatre, Delamere Terrace, Little Venice, London W2 6ND","http://www.newsrevue.com","","","Jamie"
"51","122","Hummingbird Bakery","133 Portobello Road, Notting Hill,  W11 2DY ","","","","Chris"
"52","73","mon plaicir","19 - 21 Monmouth Street, London, WC2H 9DD","http://www.toptable.com/en-gb/venue/?id=2355&refid=ppc_ggl&gclid=CIG6_I3l758CFdoB4wodExgAWw","","","julia"
"53","74","sitaaray","167 Drury Lane, London, WC2B 5PG","http://www.london-eating.co.uk/28267.htm","","","julia"
"54","124","Kitchen and Pantry","","14 Elgin Crescent, Kensington, Kensington, W11 2","","","Chris"
"55","82","Kitchin-N1","8 Caledonia Street, Islington, Islington, N1 9","http://www.kitchin-n1.com/","","","Charlotte"
"56","83","Rodizio Rico","The O2, Greenwich Peninsula, London, SE10 0DX","http://www.rodiziorico.com/","","","Charlotte"
"57","84","Indian Veg Bhelpoori","92-94 Chapel Market, Islington, London, N1 9EX ","","","","Charlotte"
"58","85","Ping Pong","44-45 Great Marlborough Street, London W1F 7JL","www.pingpongdimsum.com","","","Charlotte"
"59","88","Little Bay","228 Belsize Road, London, NW6 4BT","www.littlebay.co.uk","","","Charlotte"
"60","139","La Rueda","La Rueda   Unit 1, Tower Place West, London EC3R 5BU","www.larueda-restaurant.co.uk","","","anna"
"61","76","32, Great Queens Street","32 Great Queens Street, London, WC2B 5AA","http://www.squaremeal.co.uk/restaurants/london/view/84550/Great_Queen_Street","","","Julia"
"62","116","La Crêperie de Hampstead","77 Hampstead High Street, Camden Town, London NW3 1, United Kingdom","","","",""
"63","120","My Old Dutch","131-132 High Holborn, London, WC1V 6PS","http://www.myolddutch.com/","","","Rob"
"64","138","Thai Orchi","76 Clapham High Street, London, SW4 7UL","","","","anna"
"65","128","Cafe Respiro","33 Kensington Park Road, London, W11 2EU","","","","Chris"
"66","130","Lisboa Patisserie","6 World's End Place, London, SW10 0HE","","","","Chris"
"67","89","Finesse","Rotunda Kingston Upon Thames, London, KT1 1QI","","","","Charlotte"
"68","130","Gail's","138 Portobello Road, London, W11 2DZ","","","","Chris"
"69","181","Whole Foods","The Barkers Building, 63-97 Kensington High Street London, UK W8 5SE","http://www.wholefoodsmarket.com/","","","Rob"
"70","181","Earth","200-202 Kentish Town Road London NW5 2AE","http://www.earthnaturalfoods.co.uk/","","","Rob"
"71","130","202 Westbourne Grove","202 Westbourne Grove, Kensington, London W11 2RH","","","","Chris"
"72","143","Crystal","10 White Hart Lane, London, N17 8DP","","","","zoe"
"73","143","Churchill Arms","119 Kensington Church Street, London, W8 7LN?","","","","zoe"
"74","143","Gaby's Deli","30 Charing Cross Road, London, WC2H","","","",""
"75","91","Norwood Cemetery","Norwood High Street London, SE27","http://www.fownc.org/","","",""
"76","91","Highgate Cemetery","Swain's Lane London Highgate N6 6PJ","www.highgate-cemetery.org","","","Georgia"
"77","56","The Kings Head","2 Crouch End Hill London, N8 8AA","http://www.downstairsatthekingshead.com/","","","Jamie"
"78","145","Little Bay","171 Farringdon Road, London, EC1R 3A","","","","zoe"
"79","146","Artisan at the Westbury Mayfair Hotel","Bond Street House, 14 Clifford Street, London, W1S 4JU","","","","zoe"
"80","92","Bunhill Fields","38 City Road, London, EC1Y 2BG, United Kingdom?","http://www.sacred-destinations.com/england/london-bunhill-fields","","","Georgia"
"81","131","The Grocer","6 Elgin CR London W11 2HX","","","","Chris"
"82","147","The Stock Pot","18 Old Compton Street, Soho, W1D 4TN ","http://www.timeout.com/london/restaurants/reviews/330.html","","",""
"83","93","Abney Park","South Lodge, Stoke Newington High Street, London, N16 0LH","abney-park.org.uk?","","","Georgia"
"84","94","Nunhead Cemetery","Linden Grove London, SE15","southwark.gov.uk?","","","Georgia"
"86","96","St Pancras Cemetery","St. Pancras Cemetery, High Road, East Finchley, London, N2 9AG","","","","Georgia"
"87","194","The Foundry","80 Great Eastern Street, London, EC2A 3JL","","","","Chris"
"88","183","Waterloo Bridge","Lambeth, Greater London SE1 8","","","","Josh"
"89","148","Little Bay","228 Belsize Road, London, NW6 4BT","www.littlebay.co.uk","","","zoe"
"90","185","Serpentine Lake Bridge","Hyde Park","","","","Josh"
"91","149","Ciao Bella","90 Lamb's Conduit Street, London, WC1N 3LZ?","","","","zoe"
"92","196","Brockley Mess","325 Brockley Road, London, SE4 2QZ","","","","Chris"
"93","150","LMNT","316 Queensbridge Road, Hackney, London E8 3NH","http://www.lmnt.co.uk/","","","zoe"
"94","151","Nando's","66 Chandos Place, WC2N 4HG","http://www.nandos.co.uk/index.cfm","","",""
"95","187","Primrose Hill ","Camden, London NW3","","","","Josh"
"96","97","City of London Cemetery","Aldersbrook Road, London, E12 5DQ, United Kingdom? ","","","","Georgia"
"97","98","Brompton Cemetery","Finborough Road, London, SW10","royalparks.org.uk?","","","Georgia"
"98","188","Richmond Hill ","Richmond Hill, Richmond, TW10","","","",""
"99","99","Victoria Lodge","22 Queensway London, W2 3RX, United Kingdom 020 7298 2000","royalparks.org.uk?","","","Georgia"
"100","189","St James Park","The Mall, Westminster, London SW1Y 5","","","","Josh"
"101","197","Abu Zaad","29 Uxbridge Road, London, W12 8LH","","","","Chris"
"102","101","Brookwood Cemetery","Brookwood Cemetery Surrey GU3, UK","","","","Georgia"
"103","153","Belgos","50 Earlham Street, London, WC2H 9LJ","http://www.belgo-restaurants.co.uk/","","","zoe"
"104","166","Barnes Cemetery","Richmond, London SW13, UK","","","","Georgia"
"105","154","Little Star","26 Station Parade, London, NW2 4NH","","","","zoe"
"106","154","Pierre Victorie","5 Dean Street, London, W1D 3RQ","","","","zoe"
"107","110","Brockley Cemetery","Lewisham, London SE4, UK","","","","Georgia"
"109","204","Cheapskates @ Moonlighting","17 Greek Street London, W1D 4DR","","","","Jamie"
"110","228","Serpentine Bridge","Serpentine Bridge, 22 Queensway, London, W2 3RX","","","","Chris"
"111","204","Walkabout","The Strand, London","","","","Jamie"
"112","205","Tiger Tiger","Haymarket, Piccadilly, London","","","","Jamie"
"113","155","Fire and Stone","31-33 Maiden Lane, London WC2E 7JS","http://www.fireandstone.com/coventgarden/restaurant/index.asp","","","zoe"
"114","155","Japan Centre","212 Piccadilly, London, W1J 9HG","","","","zoe"
"115","247","3D Imax","1 Charlie Chaplin Walk, London, SE1 8XR","www.southbanklondon.com","","","Josh"
"116","229","Thames Clippers Boat Rides","","http://www.thamesclippers.com/","","","Chris"
"117","206","Milkshake @ Ministry of Sound","Ministry of Sound, 103 Gaunt Street, London, SE1 6DP","www.ministryofsound.com","","","J-Dog"
"118","248","Polka Theatre, Wimbledon","240 The Broadway Wimbledon London SW19 1SB","www.polkatheatre.com","","","Bizzle"
"119","229","DLR","","","","","Chris"
"120","223","The Vaults","The Vaults, London Bridge Station Railway Approach, Southwark, London SE1 9SP","","","","J-Flash"
"121","224","Dover Street Tube Station","Spot it between Knightsbridge and Green Park","","","","J-Town"
"122","157","Franco Manca","4 Market Row, London, SW9 8LD?","http://francomanca.co.uk/","","","zoe"
"123","157","Fujiyama","5-7 Vining Street, London, SW9 8QA?","http://www.newfujiyama.com/","","","zoe"
"124","157","Neal's Yard","Neal's Yard Camden, London WC2H","","","","zoe"
"125","157","Tinseltown Diner","44 St. John Street, London, EC1M 4DF","http://www.tinseltown.co.uk/","","","zoe"
"126","230","Lambeth Bridge","Whitehall, London, SW1A","","","","Chris"
"127","230","Primose Hill","City of London, EC4Y","","","","Chris"
"128","208","Konditor and Cook","46 Grays Inn Road, Holborn, London","http://www.konditorandcook.com/","","",""
"129","211","Kandana Deli","1 The Quadrant, Kilburn Lane, London W10","","","",""
"130","212","Café Fiori","Leicester Square, West End, London WC2H 7AN","","","",""
"131","213","The Windmill","57 Cricklewood Broadway, London","http://www.windmillhotelnorthlondon.co.uk/","","",""
"132","214","Tartine","114 Draycott Avenue London SW3 3AE","http://www.tartine.co.uk/","","",""
"133","215","Med Kitchen","24 Cambridge Circus, London","http://www.medkitchen.co.uk/index.php?option=com_content&task=view&id=22&Itemid=39","","",""
"134","216","Balans Café","60-62 Old Compton Street, London","http://www.google.com/url?q=http://www.balans.co.uk/Restaurants_Cafes/Soho.php&ei=ZPJ2S_r7L4j40wT_oZWxDA&sa=X&oi=smap&resnum=1&ct=result&cd=1&ved=0CAsQqwMoADAA&usg=AFQjCNHzXw8ctorARcYxlfITvPZT40V2kg","","",""
"135","217","Annie's","36 - 38 White Hart Lane, London, SW13 0PZ","http://www.anniesrestaurant.co.uk/barnes/","","",""
"136","219","The Grove","83 Hammersmith Grove Hammersmith, London","http://www.groverestaurants.co.uk/","","",""
"137","238","m. manze","87 Tower Bridge Road SE1 4TW","http://www.viewlondon.co.uk/restaurants/m-manze-pie-and-eel-shop-info-9094.html","","","julia"
"138","158","Tayyabs","83  - 89 Fieldgate Street, Tower Hamlets,  E1 1JU","http://www.londontown.com/LondonInformation/Restaurant/Tayyabs/260f//Tayabs","","","zoe"
"139","232","Richmond Hill","Richmond Hill, Richmond, Greater London TW10 6, UK","","","",""
"140","233","St James Park","The Mall, Westminster, London SW1Y 5","","","","Chris"
"141","160","Misato","11 Wardour Street, London, W1D 6PG","","","","zoe"
"142","160","Ramen Seto","19 Kingly Street, London, W1B 5PY","","","","zoe"
"144","259","Matsuri","71 High Holborn, London, WC1V 6EA","","","","Georgia"
"145","260","Abeno","47 Museum Street, London, WC1A 1LY?","","","","Georgia"
"146","261","Benihana","37 Sackville Street, London, Westminster","","","","Georgia"
"147","262","Sen Nin","206 Upper Street, London, N1 1RQ","","","","Georgia"
"148","265","Matsuri","71 High Holborn, London, WC1V 6EA?","","","","Georgia"
"149","265","Okonomiyaki","17-18 Great Newport Street, London, WC2H 7JE? ","","","","Georgia"
"151","268","St Christopher's Hostel, London Bridge","London Bridge","http://www.st-christophers.co.uk/london-hostels/london/london-bridge","","","Jamie"
"152","267","Gresham Hotel","36-38 Bloomsbury Street, London, WC1B 3QJ","","","","Jamie"
"153","269","Easy Hotel","44-48 West Cromwell Road, London, SW5 9QL","http://www.easyhotel.com/hotels/london_earls_court.html","","","Jamie"







































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































